"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.34255,7.99068,"gbif"
"Dactylorhiza sambucina",46.34255,7.99068,"gbif"
"Dactylorhiza sambucina",46.34255,7.99068,"gbif"
"Dactylorhiza sambucina",46.43179,8.12169,"gbif"
"Dactylorhiza sambucina",46.34221,8.05562,"gbif"
"Dactylorhiza sambucina",46.20891,7.34147,"gbif"
"Dactylorhiza sambucina",46.20891,7.34147,"gbif"
"Dactylorhiza sambucina",46.110903,7.112619,"gbif"
"Dactylorhiza sambucina",46.009506,7.130303,"gbif"
"Dactylorhiza sambucina",46.018308,7.031456,"gbif"
"Dactylorhiza sambucina",46.07474,7.141831,"gbif"
"Dactylorhiza sambucina",46.060681,7.061662,"gbif"
"Dactylorhiza sambucina",46.08089,7.147573,"gbif"
"Dactylorhiza sambucina",46.091222,7.180191,"gbif"
"Dactylorhiza sambucina",46.1696901997,7.1507649,"inat"
"Dactylorhiza sambucina",46.4253998935,6.0995796695,"inat"
"Dactylorhiza sambucina",46.40370602,8.13779198,"inat"
"Dactylorhiza sambucina",46.1254123,7.079588,"inat"
"Dactylorhiza sambucina",46.4450216667,6.096925,"inat"
"Dactylorhiza sambucina",46.4450216667,6.0969555,"inat"
"Dactylorhiza sambucina",46.1228405955,7.0294317976,"inat"
"Dactylorhiza sambucina",46.3318634033,7.7854948044,"inat"
"Dactylorhiza sambucina",46.0925833333,7.181155,"inat"
"Dactylorhiza sambucina",46.3318786621,7.7855730057,"inat"
"Dactylorhiza sambucina",46.3285452,7.6709617,"inat"
"Dactylorhiza sambucina",46.3285452,7.6709617,"inat"
"Dactylorhiza sambucina",46.3283902966,7.6694481344,"inat"
"Dactylorhiza sambucina",46.5106166667,8.3093533333,"inat"
"Dactylorhiza sambucina",46.4363784,6.0983853997,"inat"
"Dactylorhiza sambucina",46.4363699,6.0984049,"inat"
"Dactylorhiza sambucina",46.3932263686,8.5416638099,"inat"
"Dactylorhiza sambucina",46.3932847116,8.5416411903,"inat"
"Dactylorhiza sambucina",46.4145175948,8.524993178,"inat"
"Dactylorhiza sambucina",46.4224721039,8.5215383176,"inat"
"Dactylorhiza sambucina",46.3590728457,8.0221389346,"inat"
"Dactylorhiza sambucina",46.356482193,8.0202478383,"inat"
"Dactylorhiza sambucina",46.1281555,7.1481778333,"inat"
"Dactylorhiza sambucina",46.1282055,7.148275,"inat"
"Dactylorhiza sambucina",46.0861528333,7.1803883333,"inat"
"Dactylorhiza sambucina",46.0922583333,7.181545,"inat"
"Dactylorhiza sambucina",46.445175,8.8452333333,"inat"
"Dactylorhiza sambucina",46.4476,8.8430611111,"inat"
"Dactylorhiza sambucina",46.32598,7.8709883333,"inat"
"Dactylorhiza sambucina",46.31898,7.847195,"inat"
"Dactylorhiza sambucina",46.1249094503,7.0782278851,"inat"
"Dactylorhiza sambucina",46.3566657,8.6300611,"inat"
"Dactylorhiza sambucina",46.125,7.0797222222,"inat"
"Dactylorhiza sambucina",46.0747403665,7.1418306794,"inat"
"Dactylorhiza sambucina",46.0606809322,7.0616618706,"inat"
"Dactylorhiza sambucina",46.0095060235,7.1303032623,"inat"
"Dactylorhiza sambucina",46.0183082443,7.0314562192,"inat"
"Dactylorhiza sambucina",46.1109025714,7.1126190745,"inat"
"Dactylorhiza sambucina",46.0808898575,7.1475734741,"inat"
"Dactylorhiza sambucina",46.3307536214,8.0577247623,"inat"
"Dactylorhiza sambucina",46.2853783884,8.1483912739,"inat"
"Dactylorhiza sambucina",46.34052,7.6541283333,"inat"
"Dactylorhiza sambucina",46.2815527667,7.2176722167,"inat"
"Dactylorhiza sambucina",46.4314116667,8.65948,"inat"
"Dactylorhiza sambucina",46.40012,8.64938,"inat"
"Dactylorhiza sambucina",46.4309044193,6.0999148766,"inat"
"Dactylorhiza sambucina",46.4308156838,6.0994857232,"inat"
"Dactylorhiza sambucina",46.3338866667,7.7044616667,"inat"
"Dactylorhiza sambucina",46.346225,6.7914583333,"inat"
"Dactylorhiza sambucina",46.33357,7.70578,"inat"
"Dactylorhiza sambucina",46.3338134997,7.7049877997,"inat"
"Dactylorhiza sambucina",46.5473667223,7.1933801472,"inat"
"Dactylorhiza sambucina",46.1063361111,7.9165166667,"inat"
"Dactylorhiza sambucina",46.1816508527,6.8747591972,"inat"
"Dactylorhiza sambucina",46.4934237209,8.3512898628,"inat"
"Dactylorhiza sambucina",46.376570913,8.0256498232,"inat"
"Dactylorhiza sambucina",46.4294821,6.1248794,"inat"
"Dactylorhiza sambucina",46.4296609,6.1175703997,"inat"
"Dactylorhiza sambucina",46.37027,8.21698,"inat"
"Dactylorhiza sambucina",46.1130988804,7.2401401301,"inat"
"Dactylorhiza sambucina",46.3025882997,9.1263497,"inat"
"Dactylorhiza sambucina",46.3703553379,8.2164513599,"inat"
"Dactylorhiza sambucina",46.3703181222,8.2164159883,"inat"
"Dactylorhiza sambucina",46.33039538,7.66582309,"inat"
"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat"
"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat"
"Dactylorhiza sambucina",46.5323133333,8.589305,"inat"
"Dactylorhiza sambucina",46.3703193665,8.2158489227,"inat"
"Dactylorhiza sambucina",46.546455,7.1930916667,"inat"
"Dactylorhiza sambucina",46.54643,7.1931133333,"inat"
"Dactylorhiza sambucina",46.5893750031,6.272925,"inat"
"Dactylorhiza sambucina",46.5894037997,6.2728527997,"inat"
"Dactylorhiza sambucina",46.2268866667,7.43222,"inat"
"Dactylorhiza sambucina",46.5135932,8.3225613,"inat"
"Dactylorhiza sambucina",46.4535352997,8.2157420997,"inat"
